Elapsed s, Pressure dBar, Conductivity S/m, Temperature degC, Density SG, Sound Speed m/s
0,35.821998,5.49329,28.255697,1.021643155,1541.325768
10,43.734001,5.49667,28.2506,1.02169741,1541.474149
20,51.493999,5.49961,28.2423,1.021751524,1541.612169
30,59.222003,5.50208,28.246999,1.021791787,1541.764982
40,67.530998,5.50411,28.246601,1.021836531,1541.916836
50,74.835998,5.50579,28.245199,1.021876229,1542.048053
61,82.117996,5.50675,28.243099,1.021912679,1542.172613
71,89.705993,5.50851,28.246601,1.021949682,1542.316168
81,98.095001,5.51003,28.244598,1.021993461,1542.463281
91,105.709007,5.51311,28.1879,1.022089717,1542.530003
101,113.209007,5.51646,27.780696,1.02249278,1542.088313
111,120.782997,5.51125,27.756698,1.02251706,1542.139984
122,128.532012,5.48776,26.7345,1.023323073,1540.58395
132,137.139007,5.44808,27.140802,1.022787085,1541.030822
142,145.539001,5.40258,25.527799,1.023999947,1538.372169
152,154.28099,5.33052,26.066699,1.023162531,1538.786039
162,163.625,5.26035,24.6476,1.024062639,1536.151986
172,174.39801,5.17709,24.11,1.024111506,1534.783521
183,184.844009,5.101819,22.667499,1.025004134,1531.925773
193,195.764999,5.01724,21.494699,1.025602003,1529.356515
203,207.024993,4.93615,21.3859,1.025255688,1528.635322
213,219.753006,4.84245,20.756498,1.025300203,1526.883758
223,231.246994,4.76031,20.069999,1.025452717,1525.07049
233,242.761993,4.70232,19.211099,1.025904028,1523.113347
244,254.154998,4.6338,18.3903,1.026250593,1521.079633
254,266.018005,4.54967,18.029199,1.026078106,1519.757725
264,276.649993,4.47676,16.8157,1.02673248,1516.791165
274,286.846008,4.39017,16.6958,1.026301854,1515.842159
284,297.043029,4.32893,15.6883,1.026831869,1513.291079
294,308.289001,4.25909,14.3374,1.027618856,1509.862439
305,318.589996,4.1987,14.488101,1.027095389,1509.701543
315,328.522003,4.14747,13.4985,1.027668357,1507.132679
325,338.485015,4.09463,13.149401,1.027643069,1505.92541
335,348.936981,4.04385,13.0616,1.027394219,1505.325042
345,358.054992,3.99878,12.4515,1.027651652,1503.570149
356,366.89801,3.96286,11.993701,1.027835695,1502.241629
366,375.368011,3.92662,12.098299,1.027503956,1502.19971
376,384.375,3.89746,11.521,1.027842832,1500.650486
386,392.07199,3.86341,11.273201,1.027839541,1499.784067
396,399.625,3.83781,10.3408,1.028525171,1497.367626
406,407.07199,3.81196,10.6248,1.02809327,1497.853809
417,414.943023,3.78693,10.0383,1.028465909,1496.25192
427,422.065002,3.76541,9.876701,1.028473214,1495.703605
437,429.043029,3.7477,9.7266,1.028498952,1495.225522
447,435.860015,3.72927,9.686,1.028417373,1495.003178
457,442.593994,3.71347,9.092,1.028864977,1493.439958
467,449.895996,3.69925,9.118,1.028755799,1493.438763
478,456.503997,3.69102,9.0295,1.02879804,1493.217875
488,463.027008,3.67898,9.071501,1.028688678,1493.272367
498,469.186035,3.66929,8.7231,1.028956459,1492.37207
508,476.013977,3.65466,8.4625,1.029106105,1491.633811
518,482.323974,3.64447,8.441401,1.029067721,1491.547443
528,488.53302,3.635,8.4451,1.029011893,1491.531614
539,494.70401,3.62659,8.351301,1.029054753,1491.281535
549,501.36499,3.61505,8.210101,1.029117411,1490.876287
559,507.653015,3.60753,8.049101,1.02923018,1490.465907
569,513.95697,3.60041,8.084101,1.029164566,1490.561265
579,520.154968,3.5926,7.9606,1.029239514,1490.239761
589,527.054992,3.58182,7.8762,1.02925618,1489.989063
600,533.291015,3.57293,7.8509,1.029231037,1489.904444
610,539.501037,3.56658,7.7529,1.029294235,1489.665474
620,545.898986,3.56129,7.5914,1.02942603,1489.278663
630,552.723999,3.55648,7.5293,1.029471455,1489.161483
640,558.901977,3.55333,7.5331,1.029466973,1489.227042
651,565.205993,3.54991,7.5088,1.029486816,1489.218062
661,571.468017,3.54528,7.3334,1.029636706,1488.799133
671,578.255004,3.54032,7.2438,1.029706246,1488.606232
681,584.471984,3.53409,7.1311,1.029784157,1488.325981
691,590.863952,3.52908,7.1361,1.029763225,1488.372002
701,597.396972,3.52392,6.9878,1.029884793,1488.017089
712,604.464965,3.51892,6.9732,1.029884906,1488.022301
722,610.966003,3.51282,6.9714,1.029861254,1488.036876
732,617.537963,3.50669,6.9462,1.029859471,1487.990687
742,624.045043,3.50218,6.8489,1.029938557,1487.775881
752,631.328002,3.49746,6.7023,1.030065265,1487.439848
762,638.011047,3.49384,6.857,1.029917306,1487.903945
773,644.726989,3.48898,6.7434,1.030009279,1487.6435
783,651.320007,3.48396,6.6267,1.030102343,1487.369858
793,658.61798,3.48014,6.6567,1.0300716,1487.512097
803,665.258972,3.47676,6.5873,1.030134772,1487.386636
813,671.981018,3.47301,6.4789,1.030231594,1487.153389
823,678.558959,3.46877,6.543,1.030162195,1487.368911
834,685.921997,3.46476,6.48,1.030216844,1487.262364
844,692.710022,3.46142,6.4529,1.030241365,1487.251358
854,699.395019,3.45901,6.3544,1.030340298,1487.06134
864,706.177978,3.45639,6.301701,1.030395007,1486.991721
874,713.616027,3.4537,6.3464,1.030360631,1487.191413
884,720.457946,3.4507,6.2776,1.030427273,1487.074179
895,727.083984,3.44738,6.2803,1.030423313,1487.139944
905,733.892028,3.44369,6.1906,1.030503317,1486.956019
915,740.625,3.44002,6.0805,1.030602395,1486.715981
925,748.147033,3.43653,6.0775,1.030605842,1486.777957
935,755.182983,3.43373,6.0296,1.030655444,1486.721405
945,762.107971,3.43165,6.0434,1.030653011,1486.839034
956,768.796997,3.42908,5.964201,1.030732538,1486.695835
966,776.260009,3.42534,5.9552,1.030739087,1486.736948
976,783.297973,3.42282,5.972899,1.030729574,1486.860645
986,790.188964,3.4199,5.9134,1.030788296,1486.768199
996,797.089965,3.41694,5.8771,1.030824945,1486.73772
1007,804.751037,3.41404,5.8388,1.030867144,1486.714653
1017,811.807006,3.412,5.8371,1.030880065,1486.793108
1027,818.650024,3.40996,5.803,1.030922488,1486.780541
1037,825.699035,3.40796,5.7622,1.030972407,1486.753595
